AK8_pt	Gent_pt	genWeights	sumWeight	N_exp
433.75	436.0	0.49554962	209628.39	35563
654.0	688.0	0.49554962	209628.39	35563
419.0	445.0	0.49554962	209628.39	35563
426.5	279.0	0.49554962	209628.39	35563
451.75	477.0	0.49554962	209628.39	35563
277.75	335.0	0.49554962	209628.39	35563
331.75	360.0	0.49554962	209628.39	35563
243.0	262.0	-0.49554962	209628.39	35563
352.25	378.0	-0.49554962	209628.39	35563
522.0	328.0	0.49554962	209628.39	35563
410.5	370.0	0.49554962	209628.39	35563
355.25	412.0	0.49554962	209628.39	35563
432.75	425.0	0.49554962	209628.39	35563
408.5	604.0	0.49554962	209628.39	35563
449.5	411.0	0.49554962	209628.39	35563
574.0	572.0	0.49554962	209628.39	35563
261.25	305.0	-0.49554962	209628.39	35563
327.75	302.0	0.49554962	209628.39	35563
414.25	293.0	0.49554962	209628.39	35563
755.0	668.0	-0.49554962	209628.39	35563
298.75	336.0	0.49554962	209628.39	35563
650.0	27.0	0.49554962	209628.39	35563
213.25	182.0	0.49554962	209628.39	35563
229.5	144.5	-0.49554962	209628.39	35563
341.0	365.0	0.49554962	209628.39	35563
248.75	142.0	0.49554962	209628.39	35563
385.0	379.0	0.49554962	209628.39	35563
218.0	383.0	0.49554962	209628.39	35563
253.25	271.0	0.49554962	209628.39	35563
319.5	258.0	0.49554962	209628.39	35563
433.0	433.0	0.49554962	209628.39	35563
254.125	303.0	0.49554962	209628.39	35563
310.25	244.0	0.49554962	209628.39	35563
371.5	383.0	0.49554962	209628.39	35563
492.75	479.0	0.49554962	209628.39	35563
499.25	460.0	0.49554962	209628.39	35563
386.5	393.0	0.49554962	209628.39	35563
235.5	187.5	0.49554962	209628.39	35563
378.0	377.0	0.49554962	209628.39	35563
321.5	236.5	0.49554962	209628.39	35563
302.75	224.0	0.49554962	209628.39	35563
441.0	421.0	0.49554962	209628.39	35563
261.5	129.0	-0.49554962	209628.39	35563
809.5	922.0	0.49554962	209628.39	35563
396.5	433.0	0.49554962	209628.39	35563
431.25	426.0	-0.49554962	209628.39	35563
507.25	505.0	-0.49554962	209628.39	35563
355.75	301.0	-0.49554962	209628.39	35563
329.5	344.0	-0.49554962	209628.39	35563
223.25	365.0	0.49554962	209628.39	35563
366.5	366.0	0.49554962	209628.39	35563
495.75	622.0	0.49554962	209628.39	35563
359.5	340.0	0.49554962	209628.39	35563
330.0	312.0	-0.49554962	209628.39	35563
843.0	856.0	0.49554962	209628.39	35563
280.0	295.0	0.49554962	209628.39	35563
229.25	186.0	0.49554962	209628.39	35563
363.25	346.0	0.49554962	209628.39	35563
329.0	393.0	0.49554962	209628.39	35563
486.5	512.0	0.49554962	209628.39	35563
207.0	218.0	0.49554962	209628.39	35563
685.0	642.0	0.49554962	209628.39	35563
290.25	345.0	0.49554962	209628.39	35563
525.5	389.0	0.49554962	209628.39	35563
469.75	453.0	0.49554962	209628.39	35563
223.125	345.0	0.49554962	209628.39	35563
299.5	94.25	0.49554962	209628.39	35563
211.875	189.5	-0.49554962	209628.39	35563
719.0	680.0	-0.49554962	209628.39	35563
292.25	299.0	0.49554962	209628.39	35563
203.625	119.0	-0.49554962	209628.39	35563
326.75	340.0	0.49554962	209628.39	35563
320.5	387.0	0.49554962	209628.39	35563
220.625	198.0	0.49554962	209628.39	35563
560.0	576.0	0.49554962	209628.39	35563
415.25	363.0	0.49554962	209628.39	35563
310.5	241.0	0.49554962	209628.39	35563
300.75	320.0	-0.49554962	209628.39	35563
253.125	352.0	0.49554962	209628.39	35563
508.5	451.0	0.49554962	209628.39	35563
589.0	399.0	0.49554962	209628.39	35563
443.75	432.0	0.49554962	209628.39	35563
558.5	562.0	0.49554962	209628.39	35563
347.25	295.0	-0.49554962	209628.39	35563
561.0	479.0	0.49554962	209628.39	35563
475.75	227.5	0.49554962	209628.39	35563
687.0	528.0	0.49554962	209628.39	35563
255.75	384.0	-0.49554962	209628.39	35563
510.0	502.0	0.49554962	209628.39	35563
405.0	449.0	0.49554962	209628.39	35563
