AK8_pt	Gent_pt	genWeights	sumWeight	N_exp
515.5	505.0	-0.49554962	209915.81	35563
362.75	282.0	0.49554962	209915.81	35563
333.25	429.0	0.49554962	209915.81	35563
264.25	278.0	-0.49554962	209915.81	35563
218.5	156.0	-0.49554962	209915.81	35563
208.0	191.0	0.49554962	209915.81	35563
272.25	327.0	0.49554962	209915.81	35563
454.25	224.0	0.49554962	209915.81	35563
294.5	442.0	-0.49554962	209915.81	35563
603.5	546.0	0.49554962	209915.81	35563
290.75	303.0	-0.49554962	209915.81	35563
558.0	566.0	-0.49554962	209915.81	35563
489.75	361.0	-0.49554962	209915.81	35563
275.25	267.0	0.49554962	209915.81	35563
274.5	250.0	0.49554962	209915.81	35563
320.75	299.0	0.49554962	209915.81	35563
468.5	404.0	0.49554962	209915.81	35563
698.0	696.0	0.49554962	209915.81	35563
452.0	157.5	0.49554962	209915.81	35563
442.5	400.0	0.49554962	209915.81	35563
433.75	412.0	0.49554962	209915.81	35563
473.75	536.0	0.49554962	209915.81	35563
395.25	152.0	0.49554962	209915.81	35563
353.75	356.0	-0.49554962	209915.81	35563
357.75	374.0	0.49554962	209915.81	35563
649.0	580.0	0.49554962	209915.81	35563
313.0	291.0	0.49554962	209915.81	35563
255.875	307.0	0.49554962	209915.81	35563
673.0	612.0	0.49554962	209915.81	35563
248.625	236.0	-0.49554962	209915.81	35563
351.5	367.0	0.49554962	209915.81	35563
452.25	414.0	0.49554962	209915.81	35563
360.75	350.0	0.49554962	209915.81	35563
342.5	359.0	0.49554962	209915.81	35563
414.75	398.0	-0.49554962	209915.81	35563
466.5	467.0	0.49554962	209915.81	35563
693.5	694.0	-0.49554962	209915.81	35563
494.25	448.0	0.49554962	209915.81	35563
436.0	375.0	0.49554962	209915.81	35563
385.0	336.0	0.49554962	209915.81	35563
462.75	495.0	0.49554962	209915.81	35563
312.25	288.0	0.49554962	209915.81	35563
392.25	424.0	-0.49554962	209915.81	35563
1187.0	1244.0	0.49554962	209915.81	35563
407.25	405.0	0.49554962	209915.81	35563
388.5	313.0	0.49554962	209915.81	35563
257.5	241.0	0.49554962	209915.81	35563
254.875	261.0	0.49554962	209915.81	35563
429.5	422.0	0.49554962	209915.81	35563
