lep_pt	AK8_pt	t32	Msd	Flag	genWeights	sumWeight	N_exp
186.26047	323.25	0.7081048	96.4375		0.49554962	289486.16	35563
103.44607	396.0	0.31000948	183.625	a	0.49554962	289486.16	35563
192.22981	348.5	0.5257994	122.5625		0.49554962	289486.16	35563
128.5181	240.0	0.6584554	58.25		0.49554962	289486.16	35563
180.57558	517.0	0.4405196	176.375	a	-0.49554962	289486.16	35563
401.37115	666.5	0.53665125	192.0	a	-0.49554962	289486.16	35563
149.826	452.0	0.7644676	169.0	a	0.49554962	289486.16	35563
288.8829	294.75	0.68592733	150.625	c	0.49554962	289486.16	35563
134.3108	543.0	0.88758785	103.8125		-0.49554962	289486.16	35563
145.77277	680.5	0.24409299	179.625	a	0.49554962	289486.16	35563
132.12741	361.25	0.8410008	145.875	a	0.49554962	289486.16	35563
178.90453	216.5	0.5114885	104.5	c	-0.49554962	289486.16	35563
146.44695	355.75	0.76108813	139.5		0.49554962	289486.16	35563
206.62485	296.75	0.8676543	104.9375		0.49554962	289486.16	35563
273.44006	402.0	0.4509804	133.625	a	-0.49554962	289486.16	35563
180.53476	494.75	0.34793186	142.125	a	0.49554962	289486.16	35563
250.5013	643.5	0.5732026	168.0	a	0.49554962	289486.16	35563
130.16821	419.75	0.32330948	167.5		0.49554962	289486.16	35563
246.21228	535.0	0.49845082	184.5	a	0.49554962	289486.16	35563
79.55574	260.5	0.73447454	128.5		0.49554962	289486.16	35563
128.60219	560.0	0.662963	165.0	a	0.49554962	289486.16	35563
249.23854	594.5	0.6343028	232.0	a	-0.49554962	289486.16	35563
71.1278	429.75	0.8706767	148.875	c	-0.49554962	289486.16	35563
102.12578	431.5	0.5043213	162.75		0.49554962	289486.16	35563
148.53603	368.5	0.6427489	122.5		0.49554962	289486.16	35563
55.59999	300.0	0.78812057	7.6445312	d	-0.49554962	289486.16	35563
134.80173	298.5	0.5188229	143.375		-0.49554962	289486.16	35563
289.02325	295.25	0.71543986	138.75	c	0.49554962	289486.16	35563
72.61698	411.0	0.421654	165.625	a	0.49554962	289486.16	35563
434.37894	268.25	0.4594279	91.875		0.49554962	289486.16	35563
96.71682	455.0	0.61288226	144.5		0.49554962	289486.16	35563
150.66997	417.75	0.9163907	110.75		-0.49554962	289486.16	35563
92.95792	328.5	0.55804825	134.75		0.49554962	289486.16	35563
72.89884	326.0	0.4756214	155.25	a	0.49554962	289486.16	35563
155.10747	327.25	0.4552275	154.875		-0.49554962	289486.16	35563
93.719864	296.5	0.66438746	93.5	b	-0.49554962	289486.16	35563
280.85022	558.0	0.684375	137.75		0.49554962	289486.16	35563
169.0599	590.5	0.46875	180.75		0.49554962	289486.16	35563
216.31285	660.5	0.37716264	180.875	a	0.49554962	289486.16	35563
297.79153	411.25	0.51345485	199.375	a	0.49554962	289486.16	35563
274.94977	225.375	0.7114608	100.875	b	0.49554962	289486.16	35563
188.71259	222.375	0.7839469	85.4375	b	-0.49554962	289486.16	35563
306.43393	557.0	0.48793408	85.75	b	-0.49554962	289486.16	35563
140.29663	506.0	0.6726695	178.75	a	0.49554962	289486.16	35563
166.70627	453.0	0.6222293	167.0	a	0.49554962	289486.16	35563
106.67965	219.125	0.57815504	85.125	c	0.49554962	289486.16	35563
197.10645	465.75	0.41594204	169.375	a	0.49554962	289486.16	35563
55.981304	252.0	0.59650654	134.25	b	0.49554962	289486.16	35563
243.54178	203.5	0.77548385	73.0625		0.49554962	289486.16	35563
304.24048	491.25	0.6936759	129.75		0.49554962	289486.16	35563
119.35116	264.75	0.6771411	89.25	b	0.49554962	289486.16	35563
160.64157	632.5	0.8003608	5.8984375	d	0.49554962	289486.16	35563
106.80279	390.25	0.9397875	164.0		-0.49554962	289486.16	35563
145.6942	330.0	0.8954502	125.9375		0.49554962	289486.16	35563
167.14021	285.5	0.7821782	126.5		0.49554962	289486.16	35563
282.15976	441.0	0.66983694	153.75		0.49554962	289486.16	35563
83.99377	409.75	0.57757497	164.5	a	0.49554962	289486.16	35563
155.73679	252.5	0.8760469	85.5625		-0.49554962	289486.16	35563
94.00559	461.75	0.3343247	158.25	a	0.49554962	289486.16	35563
158.8372	571.0	0.59276825	178.625	a	0.49554962	289486.16	35563
131.29587	421.5	0.67969495	131.75		0.49554962	289486.16	35563
266.50082	299.5	0.7281134	73.75		0.49554962	289486.16	35563
86.05138	403.75	0.50465244	147.625		0.49554962	289486.16	35563
140.96155	474.25	0.92373484	101.5		0.49554962	289486.16	35563
674.6336	431.25	0.7118888	160.75		-0.49554962	289486.16	35563
169.50243	344.25	0.70472443	127.6875		0.49554962	289486.16	35563
68.34797	365.0	0.8277239	18.890625	d	0.49554962	289486.16	35563
218.30545	375.0	0.6925695	160.375		0.49554962	289486.16	35563
94.415855	268.25	0.63916916	111.0	b	0.49554962	289486.16	35563
69.26024	581.0	0.5456892	204.75	b	0.49554962	289486.16	35563
143.83067	373.0	0.91248393	115.5625		0.49554962	289486.16	35563
90.96054	437.0	0.6552089	163.125	a	0.49554962	289486.16	35563
163.24199	476.75	0.6619718	115.375	a	-0.49554962	289486.16	35563
118.54649	442.0	0.8137326	103.125		-0.49554962	289486.16	35563
968.4668	866.5	0.38962206	94.1875	a	0.49554962	289486.16	35563
143.69116	350.25	0.24860668	152.125	a	-0.49554962	289486.16	35563
248.59705	413.75	0.62296563	185.25	a	-0.49554962	289486.16	35563
139.2249	386.25	0.67609096	147.125		-0.49554962	289486.16	35563
231.71924	422.0	0.36328828	187.375	a	0.49554962	289486.16	35563
96.87353	400.5	0.3293931	172.625	b	-0.49554962	289486.16	35563
344.8522	339.25	0.5557342	114.375		-0.49554962	289486.16	35563
439.09616	364.0	0.70772946	75.8125		0.49554962	289486.16	35563
233.51694	370.25	0.59415585	106.9375		-0.49554962	289486.16	35563
259.91254	357.25	0.7772861	112.1875		-0.49554962	289486.16	35563
364.28656	624.0	0.49830046	181.125	a	0.49554962	289486.16	35563
119.92148	209.125	0.66097564	99.625	b	0.49554962	289486.16	35563
231.05635	708.5	0.3861328	173.125	a	0.49554962	289486.16	35563
193.3999	372.5	0.610456	127.125		-0.49554962	289486.16	35563
364.52698	273.5	0.61923075	111.6875	b	-0.49554962	289486.16	35563
325.80096	707.0	0.5671745	182.75	a	0.49554962	289486.16	35563
244.33699	332.75	0.75015163	26.78125	d	0.49554962	289486.16	35563
185.61957	561.5	0.4453125	167.5		-0.49554962	289486.16	35563
113.321335	320.5	0.72306466	104.1875	c	0.49554962	289486.16	35563
176.96913	417.75	0.76585364	163.0		-0.49554962	289486.16	35563
178.14044	656.0	0.5889571	142.5	a	0.49554962	289486.16	35563
146.43756	380.0	0.6160324	160.625		0.49554962	289486.16	35563
380.3682	419.25	0.87659234	117.6875		0.49554962	289486.16	35563
175.8044	388.5	0.599722	171.5		0.49554962	289486.16	35563
103.23531	397.25	0.4487485	182.625	a	0.49554962	289486.16	35563
231.06764	406.0	0.7242173	123.8125		0.49554962	289486.16	35563
197.9591	425.0	0.62015784	177.875	a	0.49554962	289486.16	35563
52.599068	534.0	0.41244724	184.125	a	0.49554962	289486.16	35563
186.99597	408.25	0.69554454	125.75		-0.49554962	289486.16	35563
139.62398	416.75	0.61391914	131.125	a	-0.49554962	289486.16	35563
238.0891	363.25	0.6253345	181.25		0.49554962	289486.16	35563
402.8478	357.75	0.7966035	122.0625	b	0.49554962	289486.16	35563
325.0036	453.5	0.39320388	198.5	a	0.49554962	289486.16	35563
338.42838	600.0	0.24628073	163.125	a	0.49554962	289486.16	35563
361.40845	519.5	0.77880186	126.8125		-0.49554962	289486.16	35563
79.80155	389.75	0.47893825	191.375	a	0.49554962	289486.16	35563
55.347256	353.5	0.64918625	104.375	d	-0.49554962	289486.16	35563
277.66364	270.5	0.6939632	114.6875		0.49554962	289486.16	35563
215.36794	392.75	0.63818896	168.875	a	-0.49554962	289486.16	35563
143.11284	619.5	0.7424547	186.5		0.49554962	289486.16	35563
98.15533	314.5	0.7690892	112.9375	b	-0.49554962	289486.16	35563
119.957306	448.5	0.6125113	169.875		0.49554962	289486.16	35563
545.0477	272.0	0.8863143	94.0	b	0.49554962	289486.16	35563
185.99248	244.875	0.792876	82.875		0.49554962	289486.16	35563
87.404915	402.5	0.6536827	3.2402344	d	0.49554962	289486.16	35563
100.43601	481.0	0.6531672	180.375	a	0.49554962	289486.16	35563
64.95773	421.75	0.6740682	143.75		0.49554962	289486.16	35563
129.28812	261.25	0.88804424	112.8125		0.49554962	289486.16	35563
86.23792	454.75	0.455653	168.0	a	0.49554962	289486.16	35563
240.17317	492.75	0.51711714	168.875	a	0.49554962	289486.16	35563
224.30318	384.5	0.34756097	172.0	a	0.49554962	289486.16	35563
233.17276	252.875	0.8216749	88.8125		-0.49554962	289486.16	35563
249.55196	599.0	0.77816725	159.5		0.49554962	289486.16	35563
72.54154	477.75	0.7184537	146.0		-0.49554962	289486.16	35563
222.24875	716.0	0.37730807	183.5	a	0.49554962	289486.16	35563
150.67796	424.75	0.4248866	175.0	a	0.49554962	289486.16	35563
87.330284	308.75	0.5536028	104.5	b	0.49554962	289486.16	35563
198.63689	427.25	0.5400922	164.5		-0.49554962	289486.16	35563
182.83817	418.75	0.69032025	185.25	a	0.49554962	289486.16	35563
228.64227	275.75	0.5367292	2.5058594		-0.49554962	289486.16	35563
215.40018	283.0	0.39135742	137.25	c	0.49554962	289486.16	35563
128.53154	213.25	0.39759725	93.9375		0.49554962	289486.16	35563
318.64035	619.5	0.74186665	176.25	a	-0.49554962	289486.16	35563
153.69287	269.0	0.87072563	91.875		-0.49554962	289486.16	35563
379.534	708.5	0.6505625	178.0	a	0.49554962	289486.16	35563
70.049545	360.5	0.6231343	131.875	c	-0.49554962	289486.16	35563
145.59892	458.5	0.42663345	197.875	a	0.49554962	289486.16	35563
213.45366	223.875	0.7993921	85.3125	c	0.49554962	289486.16	35563
155.86707	274.25	0.8173913	112.8125		-0.49554962	289486.16	35563
452.83304	514.5	0.8153607	190.375		0.49554962	289486.16	35563
259.2336	338.5	0.7948878	121.125	c	0.49554962	289486.16	35563
166.25043	580.0	0.73568016	81.375		0.49554962	289486.16	35563
56.940422	306.75	0.48265073	130.125	a	0.49554962	289486.16	35563
416.64496	452.25	0.68022656	168.5	a	-0.49554962	289486.16	35563
384.56833	502.75	0.37939858	189.25	a	-0.49554962	289486.16	35563
191.54553	361.0	0.43838027	105.875		0.49554962	289486.16	35563
231.29118	389.75	0.7377892	149.625		0.49554962	289486.16	35563
207.74588	620.0	0.64585906	4.0507812		0.49554962	289486.16	35563
262.67932	417.0	0.4068779	201.125	a	0.49554962	289486.16	35563
69.95654	310.25	0.83583206	123.6875		0.49554962	289486.16	35563
191.36572	366.5	0.43183857	144.0	a	-0.49554962	289486.16	35563
316.18198	306.5	0.5740351	141.0		0.49554962	289486.16	35563
231.6233	344.75	0.7421008	109.0625	c	-0.49554962	289486.16	35563
188.30717	372.75	0.52175516	160.0	a	0.49554962	289486.16	35563
255.68805	529.5	0.45737398	189.25	a	0.49554962	289486.16	35563
447.95184	851.0	0.5239112	188.5		0.49554962	289486.16	35563
249.71844	590.5	0.46419328	196.375	a	0.49554962	289486.16	35563
223.74445	267.5	0.8779661	90.1875		0.49554962	289486.16	35563
41.23321	379.0	0.8957096	158.25		0.49554962	289486.16	35563
101.99962	307.75	0.544047	126.625		0.49554962	289486.16	35563
292.5696	309.25	0.69935346	115.25		0.49554962	289486.16	35563
211.2468	515.5	0.4896609	138.5	a	0.49554962	289486.16	35563
167.4245	210.875	0.7511568	74.0		0.49554962	289486.16	35563
214.90268	311.25	0.5693069	129.5	b	0.49554962	289486.16	35563
232.75783	411.75	0.44715744	150.375	b	0.49554962	289486.16	35563
229.21747	302.5	0.8089744	107.875	b	-0.49554962	289486.16	35563
58.02899	285.0	0.47305936	111.9375	b	-0.49554962	289486.16	35563
169.81238	494.5	0.31512916	184.125	a	-0.49554962	289486.16	35563
170.95323	422.75	0.63054734	124.875	a	-0.49554962	289486.16	35563
163.74731	498.0	0.46786922	159.25	a	-0.49554962	289486.16	35563
361.78784	585.0	0.6394148	179.0		-0.49554962	289486.16	35563
147.5903	365.75	0.56427556	156.5	b	0.49554962	289486.16	35563
129.04663	265.25	0.87032616	4.5390625		0.49554962	289486.16	35563
423.07257	393.75	0.6670096	151.0		0.49554962	289486.16	35563
82.1767	265.5	0.59276366	131.75	d	0.49554962	289486.16	35563
125.535706	359.75	0.92424244	135.375		0.49554962	289486.16	35563
212.90111	366.0	0.5139057	160.25	a	-0.49554962	289486.16	35563
180.78401	440.0	0.38301387	180.375	a	0.49554962	289486.16	35563
210.97949	278.25	0.6226066	88.875	c	-0.49554962	289486.16	35563
197.22055	356.0	0.61019534	107.0625		-0.49554962	289486.16	35563
247.19208	726.5	0.641804	194.0	b	-0.49554962	289486.16	35563
159.48883	362.0	0.71805704	97.3125	b	0.49554962	289486.16	35563
275.48813	569.5	0.7981595	148.375		0.49554962	289486.16	35563
225.46428	572.0	0.83065856	172.0	a	0.49554962	289486.16	35563
65.03312	324.5	0.6935337	131.875		0.49554962	289486.16	35563
370.30496	382.0	0.46623376	150.0	a	-0.49554962	289486.16	35563
75.03822	223.375	0.8683168	88.0	c	0.49554962	289486.16	35563
169.5782	314.5	0.39003438	153.375		-0.49554962	289486.16	35563
121.62788	424.0	0.65320045	155.375	a	0.49554962	289486.16	35563
133.485	442.5	0.49318182	177.375	a	0.49554962	289486.16	35563
139.06395	239.5	0.47018632	95.4375		0.49554962	289486.16	35563
181.2134	382.0	0.71588236	165.375		0.49554962	289486.16	35563
101.554794	359.0	0.5814906	182.75	a	-0.49554962	289486.16	35563
275.16965	632.0	0.5760165	173.875	a	0.49554962	289486.16	35563
297.13156	507.5	0.74379164	164.375	a	-0.49554962	289486.16	35563
68.52603	299.75	0.3816029	125.1875	a	0.49554962	289486.16	35563
