AK4_pt	AK8_pt	H_t	t_tag	b_tag	Minv	signal
27.953125	176.375	27.953125	0.004840851	0.050598145	7.104547037283936	False
27.125	242.75	27.125	0.00028133392	0.20703125	1.0918122081993857	False
40.34375	296.0	40.34375	0.007331848	0.48754883	0.9821898227235977	False
43.15625	422.0	43.15625	0.07928467	0.112976074	0.33842570714411124	False
37.28125	199.5	37.28125	0.0061416626	0.105651855	1.3260102590593732	False
25.421875	332.5	25.421875	1.2088567e-06	0.42749023	0.5692969963040468	False
34.59375	270.75	34.59375	1.680851e-05	0.15686035	4.737210727702347	False
30.71875	311.25	30.71875	0.003730774	0.3947754	2.0450150111685304	False
31.734375	198.875	31.734375	1.0263175e-06	0.9941406	0.8838926941380691	False
58.15625	213.375	58.15625	0.10290527	0.25170898	0.6125813465530427	False
49.34375	170.375	49.34375	0.00052165985	0.4267578	1.1658241997646002	False
28.46875	208.25	28.46875	6.28829e-06	0.13586426	1.210157980425123	False
38.34375	197.75	38.34375	0.007850647	0.18591309	1.0431726445378047	False
30.3125	170.375	30.3125	-10.0	0.095581055	6.094662590775272	False
69.75	256.5	69.75	0.024017334	0.109191895	2.273248531935181	False
29.453125	442.25	29.453125	0.86083984	0.13562012	0.526623065506783	False
43.0	258.25	43.0	2.283603e-06	0.3293457	1.6777070831922885	False
30.53125	182.0	30.53125	5.3197145e-05	0.11114502	4.728663018363207	False
26.5625	250.875	26.5625	2.6911497e-05	0.43139648	2.527162400579215	False
31.140625	184.875	31.140625	0.00069856644	0.09375	1.153485201630275	False
29.15625	273.75	29.15625	0.016525269	0.07354736	0.2255233880452181	False
29.21875	321.25	29.21875	0.00048208237	0.19311523	6.35365203845177	False
32.25	204.25	32.25	1.8581748e-05	0.05279541	0.0031636100271015266	False
26.921875	207.25	54.765625	2.092123e-05	0.059753418	1.773961157054842	False
60.28125	186.5	124.125	0.04083252	0.4831543	4.5517869023244515	False
49.9375	234.375	106.9375	7.666647e-06	0.14440918	2.40543700557609	False
45.03125	299.0	45.03125	0.020980835	0.9321289	2.5097097644569004	False
71.25	247.5	71.25	9.806827e-07	0.071899414	0.13375188850037034	False
83.1875	209.0	83.1875	1.8492341e-05	0.10308838	0.21260463159667609	False
56.34375	222.0	56.34375	1.5839934e-05	0.07696533	0.008376274232162473	False
39.25	249.375	39.25	8.612871e-05	0.05783081	0.5221061306875328	False
34.96875	216.625	34.96875	7.2568655e-06	0.07055664	0.5954641960772875	False
