AK8_pt	Gent_pt	genWeights	sumWeight	N_exp
316.75	333.0	0.49554962	206732.34	35563
326.0	353.0	0.49554962	206732.34	35563
633.5	600.0	0.49554962	206732.34	35563
407.5	246.5	-0.49554962	206732.34	35563
266.25	200.0	0.49554962	206732.34	35563
345.5	352.0	0.49554962	206732.34	35563
417.0	412.0	0.49554962	206732.34	35563
277.25	292.0	0.49554962	206732.34	35563
728.5	492.0	-0.49554962	206732.34	35563
321.75	296.0	0.49554962	206732.34	35563
532.0	380.0	-0.49554962	206732.34	35563
651.0	616.0	0.49554962	206732.34	35563
496.25	462.0	0.49554962	206732.34	35563
554.5	534.0	0.49554962	206732.34	35563
378.5	356.0	0.49554962	206732.34	35563
405.25	321.0	-0.49554962	206732.34	35563
310.25	222.0	0.49554962	206732.34	35563
273.75	171.0	-0.49554962	206732.34	35563
377.5	376.0	0.49554962	206732.34	35563
294.0	123.75	0.49554962	206732.34	35563
290.75	249.5	0.49554962	206732.34	35563
491.0	495.0	-0.49554962	206732.34	35563
758.0	550.0	0.49554962	206732.34	35563
424.75	419.0	0.49554962	206732.34	35563
472.75	346.0	-0.49554962	206732.34	35563
403.75	447.0	0.49554962	206732.34	35563
354.75	385.0	0.49554962	206732.34	35563
508.75	473.0	0.49554962	206732.34	35563
283.5	276.0	-0.49554962	206732.34	35563
268.25	259.0	0.49554962	206732.34	35563
272.0	294.0	0.49554962	206732.34	35563
677.0	616.0	0.49554962	206732.34	35563
368.75	339.0	0.49554962	206732.34	35563
405.0	404.0	0.49554962	206732.34	35563
303.25	205.5	-0.49554962	206732.34	35563
412.5	430.0	0.49554962	206732.34	35563
293.0	375.0	0.49554962	206732.34	35563
405.25	325.0	0.49554962	206732.34	35563
472.0	462.0	0.49554962	206732.34	35563
427.25	415.0	-0.49554962	206732.34	35563
221.25	219.5	-0.49554962	206732.34	35563
517.0	473.0	0.49554962	206732.34	35563
414.0	389.0	0.49554962	206732.34	35563
425.0	467.0	0.49554962	206732.34	35563
262.5	277.0	-0.49554962	206732.34	35563
458.0	500.0	0.49554962	206732.34	35563
545.0	488.0	0.49554962	206732.34	35563
385.75	378.0	0.49554962	206732.34	35563
477.75	516.0	-0.49554962	206732.34	35563
239.5	270.0	0.49554962	206732.34	35563
481.0	522.0	0.49554962	206732.34	35563
295.75	279.0	-0.49554962	206732.34	35563
291.5	212.0	0.49554962	206732.34	35563
408.25	453.0	-0.49554962	206732.34	35563
487.75	460.0	0.49554962	206732.34	35563
395.5	495.0	0.49554962	206732.34	35563
610.0	532.0	-0.49554962	206732.34	35563
262.25	369.0	-0.49554962	206732.34	35563
573.0	526.0	0.49554962	206732.34	35563
454.75	447.0	0.49554962	206732.34	35563
384.5	381.0	0.49554962	206732.34	35563
588.0	568.0	-0.49554962	206732.34	35563
219.625	150.5	0.49554962	206732.34	35563
412.75	414.0	0.49554962	206732.34	35563
260.0	264.0	0.49554962	206732.34	35563
278.5	371.0	0.49554962	206732.34	35563
764.5	503.0	-0.49554962	206732.34	35563
606.5	604.0	-0.49554962	206732.34	35563
227.25	234.5	-0.49554962	206732.34	35563
674.5	668.0	0.49554962	206732.34	35563
307.75	284.0	-0.49554962	206732.34	35563
402.5	378.0	0.49554962	206732.34	35563
365.5	368.0	-0.49554962	206732.34	35563
519.5	424.0	0.49554962	206732.34	35563
418.25	319.0	0.49554962	206732.34	35563
648.5	600.0	0.49554962	206732.34	35563
577.5	574.0	0.49554962	206732.34	35563
245.875	255.0	0.49554962	206732.34	35563
337.25	379.0	0.49554962	206732.34	35563
331.5	163.0	-0.49554962	206732.34	35563
463.5	570.0	-0.49554962	206732.34	35563
221.375	236.5	0.49554962	206732.34	35563
440.0	409.0	0.49554962	206732.34	35563
522.5	362.0	0.49554962	206732.34	35563
426.75	148.5	0.49554962	206732.34	35563
763.5	724.0	0.49554962	206732.34	35563
721.0	578.0	0.49554962	206732.34	35563
451.75	514.0	0.49554962	206732.34	35563
609.5	217.0	-0.49554962	206732.34	35563
450.75	431.0	-0.49554962	206732.34	35563
280.75	133.5	0.49554962	206732.34	35563
480.75	439.0	0.49554962	206732.34	35563
523.5	492.0	0.49554962	206732.34	35563
234.5	180.5	-0.49554962	206732.34	35563
259.25	271.0	-0.49554962	206732.34	35563
477.25	440.0	0.49554962	206732.34	35563
657.5	582.0	-0.49554962	206732.34	35563
426.0	421.0	0.49554962	206732.34	35563
443.75	370.0	0.49554962	206732.34	35563
524.5	465.0	0.49554962	206732.34	35563
