lep_pt	AK8_pt	t32	Msd	Flag	genWeights	sumWeight	N_exp
170.02893	254.25	0.7703656	70.375	c	0.49554962	209709.69	35563
270.68903	248.75	0.44058642	111.375	c	0.49554962	209709.69	35563
42.325996	427.75	0.7294776	161.875		0.49554962	209709.69	35563
57.70221	235.375	0.84678745	30.96875		-0.49554962	209709.69	35563
79.06691	266.5	0.91116005	73.5625		0.49554962	209709.69	35563
123.07159	274.75	0.8026517	65.5	d	0.49554962	209709.69	35563
159.58676	248.25	0.93298155	54.34375		0.49554962	209709.69	35563
168.67142	259.75	0.797235	73.75	b	0.49554962	209709.69	35563
87.19558	238.5	0.74361545	60.28125		0.49554962	209709.69	35563
178.52185	187.0	0.87945205	4.2265625		0.49554962	209709.69	35563
56.594948	511.75	0.55228585	165.0	a	-0.49554962	209709.69	35563
72.13702	195.125	0.75834656	2.6269531	c	0.49554962	209709.69	35563
103.92194	263.25	0.54443485	73.75	b	-0.49554962	209709.69	35563
168.39357	612.5	0.5620491	232.5	a	0.49554962	209709.69	35563
121.097694	240.5	0.71653	1.1064453		0.49554962	209709.69	35563
178.69695	359.75	0.47214854	170.5	b	-0.49554962	209709.69	35563
157.28574	241.25	0.7333966	8.140625		0.49554962	209709.69	35563
121.90307	246.75	0.93205744	3.4433594	d	0.49554962	209709.69	35563
117.25264	271.5	0.86019164	95.1875		-0.49554962	209709.69	35563
247.49446	293.0	0.79308873	69.625		0.49554962	209709.69	35563
64.66145	364.5	0.6067692	188.25	a	0.49554962	209709.69	35563
160.00923	469.25	0.75261587	69.9375	b	-0.49554962	209709.69	35563
64.5084	324.0	0.58737284	113.0		0.49554962	209709.69	35563
192.40262	190.25	0.8381655	-1.0	d	-0.49554962	209709.69	35563
69.73597	484.0	0.70873785	145.625	a	0.49554962	209709.69	35563
92.657555	281.0	0.8324159	33.875		0.49554962	209709.69	35563
111.53865	235.875	0.7243346	69.9375	c	0.49554962	209709.69	35563
62.7963	229.5	0.7757937	80.4375	b	0.49554962	209709.69	35563
134.3832	209.625	0.93243915	82.125	b	0.49554962	209709.69	35563
140.34895	198.625	0.5960666	79.6875	b	0.49554962	209709.69	35563
186.66072	226.875	0.7574984	45.78125		-0.49554962	209709.69	35563
117.00042	247.375	0.74353564	75.4375	c	0.49554962	209709.69	35563
146.98647	188.875	0.8976249	-1.0	d	0.49554962	209709.69	35563
194.81873	293.25	0.8449862	91.1875		0.49554962	209709.69	35563
