lep_pt	AK8_pt	t32	Msd	Flag	genWeights	sumWeight	N_exp
67.27621	577.5	0.8108108	86.8125	b	0.49554962	289570.47	35563
115.420395	222.75	0.5672199	108.0		0.49554962	289570.47	35563
156.31512	536.5	0.43382353	178.625	a	-0.49554962	289570.47	35563
215.22975	522.0	0.8325158	99.1875	a	-0.49554962	289570.47	35563
176.46663	453.75	0.45668954	193.875	a	-0.49554962	289570.47	35563
170.70612	297.0	0.8345905	117.125		-0.49554962	289570.47	35563
106.923485	271.5	0.8010532	74.0625		-0.49554962	289570.47	35563
185.92505	486.0	0.45564517	132.375	a	0.49554962	289570.47	35563
266.62338	266.75	0.82521087	106.8125		0.49554962	289570.47	35563
122.31316	327.75	0.64198536	124.9375	a	0.49554962	289570.47	35563
127.89217	397.0	0.42588726	171.625	a	-0.49554962	289570.47	35563
150.15988	283.0	0.65556395	162.625		0.49554962	289570.47	35563
133.6235	389.75	0.3115809	179.875	a	0.49554962	289570.47	35563
111.99347	358.25	0.6964607	53.75	d	0.49554962	289570.47	35563
84.34682	439.5	0.4089275	185.0	a	0.49554962	289570.47	35563
186.61243	589.5	0.753605	140.375	a	0.49554962	289570.47	35563
110.14812	607.0	0.46052632	204.0	a	0.49554962	289570.47	35563
149.57579	539.0	0.38492063	207.25	a	-0.49554962	289570.47	35563
142.4629	357.0	0.5590947	120.4375		0.49554962	289570.47	35563
163.33571	389.75	0.43764523	196.75	a	0.49554962	289570.47	35563
143.05817	411.0	0.564951	221.875	a	0.49554962	289570.47	35563
203.90143	365.25	0.76155394	111.1875		0.49554962	289570.47	35563
287.8059	314.0	0.66726136	104.8125		0.49554962	289570.47	35563
48.70087	322.0	0.8048881	120.5625		0.49554962	289570.47	35563
231.78677	228.5	0.8053892	84.0		0.49554962	289570.47	35563
142.6702	489.75	0.50917995	181.875	a	-0.49554962	289570.47	35563
520.92786	400.75	0.67203313	142.0		0.49554962	289570.47	35563
168.25456	369.25	0.5067114	156.125		0.49554962	289570.47	35563
303.15146	504.5	0.6567106	213.25		0.49554962	289570.47	35563
71.074974	547.0	0.6665154	157.75	a	-0.49554962	289570.47	35563
210.99298	311.0	0.64782244	142.375		0.49554962	289570.47	35563
200.60605	476.25	0.7002935	169.25	a	-0.49554962	289570.47	35563
108.48484	253.125	0.3503804	119.625		-0.49554962	289570.47	35563
55.35631	308.25	0.5065455	134.75		0.49554962	289570.47	35563
277.8861	401.0	0.43926057	121.4375		0.49554962	289570.47	35563
68.236244	390.5	0.3489933	144.75	b	0.49554962	289570.47	35563
181.71397	372.75	0.44563198	149.875	a	-0.49554962	289570.47	35563
196.3315	525.0	0.29178235	203.375	a	0.49554962	289570.47	35563
198.37735	426.5	0.50961536	146.125	a	0.49554962	289570.47	35563
133.67575	232.0	0.41316333	122.125		-0.49554962	289570.47	35563
151.84993	367.25	0.46530962	131.875	c	0.49554962	289570.47	35563
67.66723	378.25	0.7285575	165.125	a	0.49554962	289570.47	35563
367.06842	560.5	0.68647665	202.25	a	-0.49554962	289570.47	35563
54.567005	505.25	0.62205017	174.125	c	-0.49554962	289570.47	35563
45.565098	560.5	0.76061493	133.375		0.49554962	289570.47	35563
168.73177	262.25	0.46068197	103.0625	c	0.49554962	289570.47	35563
272.60675	421.25	0.48267478	165.875		0.49554962	289570.47	35563
253.01895	527.5	0.37688577	201.0	a	0.49554962	289570.47	35563
136.35934	318.5	0.6108189	144.125	a	0.49554962	289570.47	35563
330.5495	481.75	0.5308974	184.125	a	-0.49554962	289570.47	35563
143.21693	186.875	0.4337191	79.4375	c	0.49554962	289570.47	35563
109.2765	239.875	0.6159655	116.5625		0.49554962	289570.47	35563
420.7401	443.5	0.25933516	185.0	a	0.49554962	289570.47	35563
99.32313	607.5	0.5801793	186.125		0.49554962	289570.47	35563
267.586	398.25	0.49015263	191.0		0.49554962	289570.47	35563
129.97849	617.0	0.6247017	161.375	a	0.49554962	289570.47	35563
135.21915	394.25	0.6188487	169.875		0.49554962	289570.47	35563
152.8343	567.0	0.28392753	172.375	a	0.49554962	289570.47	35563
121.692055	353.0	0.5460366	145.5	a	-0.49554962	289570.47	35563
157.50282	300.25	0.8015058	117.4375		-0.49554962	289570.47	35563
244.8844	340.0	0.576496	117.25	b	0.49554962	289570.47	35563
301.6117	811.0	0.649794	95.8125	a	0.49554962	289570.47	35563
582.16077	475.25	0.82999426	177.625		-0.49554962	289570.47	35563
132.58362	226.125	0.57758075	98.0625		0.49554962	289570.47	35563
526.28937	427.25	0.5845005	131.125		0.49554962	289570.47	35563
98.87243	542.0	0.75448334	170.75	a	0.49554962	289570.47	35563
267.2897	468.75	0.82073265	85.5625		0.49554962	289570.47	35563
310.25134	473.0	0.45152092	85.375		0.49554962	289570.47	35563
220.7167	369.25	0.68837935	173.5		0.49554962	289570.47	35563
348.1992	544.0	0.6340659	141.875	a	0.49554962	289570.47	35563
66.11951	364.5	0.6204651	196.0	a	0.49554962	289570.47	35563
207.97299	507.75	0.5275081	181.75	a	0.49554962	289570.47	35563
142.97093	254.875	0.8579278	90.375	c	0.49554962	289570.47	35563
249.17867	263.5	0.7938988	119.4375	c	0.49554962	289570.47	35563
88.85226	231.75	0.6788831	81.4375	c	-0.49554962	289570.47	35563
65.66487	285.5	0.7613065	124.8125	b	0.49554962	289570.47	35563
248.71089	509.5	0.5885545	175.75	a	0.49554962	289570.47	35563
368.62753	485.25	0.4320677	153.125	a	0.49554962	289570.47	35563
872.5331	996.5	0.6468048	439.25	a	0.49554962	289570.47	35563
65.948944	201.25	0.49628055	81.625	d	0.49554962	289570.47	35563
191.26775	325.5	0.79186416	66.0625		0.49554962	289570.47	35563
87.889404	348.0	0.70666164	120.1875		0.49554962	289570.47	35563
324.77332	592.0	0.68133175	84.5		0.49554962	289570.47	35563
166.56792	268.0	0.61157024	119.0	c	0.49554962	289570.47	35563
129.76987	513.0	0.37296563	241.375		0.49554962	289570.47	35563
188.00171	485.0	0.32002074	193.75	a	0.49554962	289570.47	35563
250.61557	564.0	0.56246936	159.5		0.49554962	289570.47	35563
61.95327	315.75	0.7488789	76.6875	d	0.49554962	289570.47	35563
217.23349	344.25	0.5278761	183.125	c	0.49554962	289570.47	35563
326.15958	603.5	0.41210938	181.5	a	-0.49554962	289570.47	35563
452.38657	582.5	0.43928573	242.5	a	0.49554962	289570.47	35563
153.45274	560.0	0.6819728	136.75	a	0.49554962	289570.47	35563
82.86439	387.25	0.871673	152.75		-0.49554962	289570.47	35563
675.2197	1058.0	0.5250616	434.5	a	0.49554962	289570.47	35563
97.3605	282.0	0.87510073	95.6875		0.49554962	289570.47	35563
161.52985	382.5	0.86184776	148.25		0.49554962	289570.47	35563
