lep_pt	AK8_pt	AK4_pt	GenT_pt	M_sd	genWeights	sumWeight	N_exp
53.06154	244.375	58.90625	208.5	92.125	0.49554962	289558.6	35563
327.3305	487.5	81.8125	468.0	173.625	0.49554962	289558.6	35563
253.0488	263.5	123.0	273.0	124.9375	-0.49554962	289558.6	35563
309.51624	383.25	132.5	370.0	177.75	0.49554962	289558.6	35563
145.4998	350.25	82.6875	285.0	134.25	-0.49554962	289558.6	35563
154.35133	409.75	168.25	329.0	210.0	0.49554962	289558.6	35563
171.38126	367.0	127.625	387.0	131.75	-0.49554962	289558.6	35563
172.36438	308.5	64.125	238.5	104.375	0.49554962	289558.6	35563
227.13733	382.5	81.1875	437.0	138.75	0.49554962	289558.6	35563
469.88718	565.5	235.875	682.0	102.0	-0.49554962	289558.6	35563
328.58344	319.75	90.4375	372.0	78.0625	-0.49554962	289558.6	35563
238.107	365.5	50.03125	351.0	179.75	0.49554962	289558.6	35563
84.40459	515.5	135.5	505.0	157.125	0.49554962	289558.6	35563
137.27718	364.5	125.375	371.0	154.625	0.49554962	289558.6	35563
332.75433	438.0	76.625	448.0	167.375	-0.49554962	289558.6	35563
51.034245	483.0	63.21875	470.0	185.25	0.49554962	289558.6	35563
220.59088	416.75	142.125	375.0	167.875	0.49554962	289558.6	35563
119.14006	261.5	75.1875	285.0	63.28125	0.49554962	289558.6	35563
175.34612	577.0	162.25	233.5	2.453125	0.49554962	289558.6	35563
112.57675	360.5	58.03125	379.0	114.875	0.49554962	289558.6	35563
86.512566	300.75	97.0	322.0	111.0625	-0.49554962	289558.6	35563
135.47086	323.0	77.9375	310.0	123.4375	0.49554962	289558.6	35563
31.08705	505.25	115.6875	499.0	101.875	-0.49554962	289558.6	35563
106.359634	297.5	121.8125	326.0	77.3125	0.49554962	289558.6	35563
268.3667	366.75	169.625	379.0	141.625	0.49554962	289558.6	35563
91.07662	245.75	114.125	286.0	102.1875	-0.49554962	289558.6	35563
136.14859	259.0	78.0625	298.0	103.0625	0.49554962	289558.6	35563
205.79163	372.5	104.75	394.0	160.25	-0.49554962	289558.6	35563
210.85696	361.5	155.625	325.0	184.0	0.49554962	289558.6	35563
137.0361	341.25	54.0625	328.0	136.125	0.49554962	289558.6	35563
82.36528	842.0	332.75	473.0	426.75	-0.49554962	289558.6	35563
418.94107	500.75	113.9375	522.0	174.625	0.49554962	289558.6	35563
572.98785	1129.0	305.25	542.0	506.5	0.49554962	289558.6	35563
350.79272	351.75	94.25	424.0	94.375	0.49554962	289558.6	35563
292.61636	510.5	65.9375	477.0	155.875	0.49554962	289558.6	35563
373.1796	653.5	110.0	912.0	172.25	0.49554962	289558.6	35563
194.05467	337.25	75.9375	259.0	59.125	0.49554962	289558.6	35563
189.3029	344.5	98.5	312.0	154.25	0.49554962	289558.6	35563
157.40677	346.75	69.25	329.0	121.5	0.49554962	289558.6	35563
543.4776	499.25	136.75	482.0	175.0	0.49554962	289558.6	35563
60.83277	221.375	59.78125	217.5	88.3125	0.49554962	289558.6	35563
