AK4_pt	AK8_pt	H_t	t_tag	b_tag	Minv	genWeights	sumWeight	signal
42.53125	244.0	42.53125	0.00047254562	0.20080566	4.9347854449021895	17623.23	209915.81	True
29.265625	172.75	95.703125	0.23669434	0.08380127	5.406010116203362	-17623.23	209915.81	True
25.4375	176.125	115.0625	0.0074501038	0.9951172	5.64786176807381	17623.23	209915.81	True
40.15625	529.0	241.625	0.00699234	0.5996094	0.8550535074163292	17623.23	209915.81	True
44.03125	300.75	200.25	0.083862305	0.39111328	1.7431763171019128	-17623.23	209915.81	True
25.390625	350.25	51.59375	0.40454102	0.69921875	1.4336200795339238	17623.23	209915.81	True
89.25	303.75	89.25	0.05517578	0.3413086	1.2978649936214026	-17623.23	209915.81	True
75.125	216.0	156.75	2.579391e-05	0.9995117	2.0522127833112194	17623.23	209915.81	True
31.140625	270.5	192.57812	0.23876953	0.99853516	3.256002899575222	-17623.23	209915.81	True
44.25	198.125	114.5	4.2766333e-05	0.9995117	0.47595832323688114	17623.23	209915.81	True
33.03125	184.25	33.03125	0.47436523	0.43579102	2.3641261355653285	17623.23	209915.81	True
31.859375	176.125	197.79688	0.00012552738	0.9975586	2.643382762088393	-17623.23	209915.81	True
42.96875	182.125	194.96875	0.00055265427	0.98828125	1.0189871924485914	17623.23	209915.81	True
29.78125	321.0	201.78125	0.8100586	0.13928223	3.390681831037483	17623.23	209915.81	True
41.46875	177.5	41.46875	0.19140625	0.9946289	0.8922992199421316	17623.23	209915.81	True
34.09375	199.75	93.8125	0.00051546097	0.9980469	2.4618877273370288	-17623.23	209915.81	True
30.046875	180.0	87.171875	0.0058250427	0.99902344	0.7742496992310208	17623.23	209915.81	True
42.4375	283.0	42.4375	0.05303955	0.10412598	3.5234578546079405	-17623.23	209915.81	True
109.1875	249.625	109.1875	0.13378906	0.6640625	2.7630347035693603	17623.23	209915.81	True
34.34375	191.75	121.96875	5.9187412e-05	0.90185547	2.1368412312782112	-17623.23	209915.81	True
33.5625	204.25	124.875	0.12854004	0.41381836	0.7646424756166539	17623.23	209915.81	True
46.375	202.625	172.875	0.007949829	0.99902344	7.941901906386789	-17623.23	209915.81	True
54.75	692.0	121.625	0.9995117	0.21911621	3.143254491220631	17623.23	209915.81	True
75.1875	188.875	153.0	0.0012722015	0.0647583	2.9452028403771635	17623.23	209915.81	True
