lep_pt	AK8_pt	AK4_pt	GenT_pt	M_sd	genWeights	sumWeight	N_exp
93.349106	471.75	64.5625	437.0	7.7929688	0.49554962	224808.1	35563
198.36247	445.0	116.4375	423.0	140.25	0.49554962	224808.1	35563
102.17989	216.0	81.0625	212.0	87.25	0.49554962	224808.1	35563
210.24223	276.5	149.25	402.0	91.625	0.49554962	224808.1	35563
157.00348	389.25	147.375	376.0	170.375	0.49554962	224808.1	35563
511.11563	1612.0	197.75	1324.0	369.0	-0.49554962	224808.1	35563
201.76402	392.75	65.9375	393.0	170.0	0.49554962	224808.1	35563
261.62866	278.5	92.8125	338.0	84.125	-0.49554962	224808.1	35563
134.11404	210.25	62.875	174.5	70.0625	0.49554962	224808.1	35563
104.24503	423.5	201.625	379.0	196.5	0.49554962	224808.1	35563
169.54922	207.625	79.875	230.0	80.125	0.49554962	224808.1	35563
168.81009	312.75	63.84375	202.5	126.625	-0.49554962	224808.1	35563
359.81808	443.25	98.0625	331.0	147.375	0.49554962	224808.1	35563
161.87064	312.0	118.75	339.0	120.5	0.49554962	224808.1	35563
265.6361	220.375	76.5	436.0	67.5625	0.49554962	224808.1	35563
186.46428	223.625	86.4375	139.0	88.875	0.49554962	224808.1	35563
147.75136	401.0	202.875	347.0	179.0	0.49554962	224808.1	35563
136.695	270.75	92.5	145.0	97.625	0.49554962	224808.1	35563
221.29797	429.75	170.625	425.0	170.625	-0.49554962	224808.1	35563
232.4488	326.5	121.25	334.0	156.625	-0.49554962	224808.1	35563
266.00537	467.75	107.4375	454.0	182.75	0.49554962	224808.1	35563
359.47226	428.75	52.21875	504.0	98.375	0.49554962	224808.1	35563
250.28577	280.0	100.375	265.0	84.5625	0.49554962	224808.1	35563
339.82376	505.0	66.8125	467.0	179.875	-0.49554962	224808.1	35563
133.98808	230.125	63.90625	315.0	97.6875	-0.49554962	224808.1	35563
296.64932	344.5	86.3125	353.0	116.25	0.49554962	224808.1	35563
44.71024	596.5	71.625	660.0	75.5625	0.49554962	224808.1	35563
72.5613	305.25	110.75	414.0	168.5	-0.49554962	224808.1	35563
50.04206	449.25	106.3125	453.0	149.375	0.49554962	224808.1	35563
292.78467	317.25	64.125	291.0	81.375	0.49554962	224808.1	35563
94.96294	414.0	63.9375	442.0	171.5	-0.49554962	224808.1	35563
76.032	346.5	71.375	364.0	136.125	-0.49554962	224808.1	35563
202.89134	547.5	65.0625	526.0	80.625	0.49554962	224808.1	35563
60.246315	429.0	188.125	402.0	188.625	0.49554962	224808.1	35563
183.58295	214.375	107.375	224.0	78.0	0.49554962	224808.1	35563
242.60387	271.75	67.6875	314.0	112.125	0.49554962	224808.1	35563
257.96448	422.75	72.75	390.0	138.75	0.49554962	224808.1	35563
303.6845	618.5	99.5	790.0	172.125	0.49554962	224808.1	35563
85.66516	448.0	109.375	441.0	182.375	0.49554962	224808.1	35563
51.181164	311.25	136.375	348.0	120.6875	0.49554962	224808.1	35563
111.111786	245.25	96.1875	320.0	113.4375	0.49554962	224808.1	35563
260.72992	427.75	142.625	394.0	193.25	-0.49554962	224808.1	35563
238.17339	671.0	177.25	686.0	176.0	0.49554962	224808.1	35563
191.53273	308.0	50.90625	236.5	103.3125	0.49554962	224808.1	35563
154.87537	348.0	108.875	370.0	152.75	0.49554962	224808.1	35563
154.31944	496.25	123.75	401.0	215.0	0.49554962	224808.1	35563
54.382412	339.25	139.75	344.0	113.625	0.49554962	224808.1	35563
145.07068	503.75	64.0	448.0	122.625	0.49554962	224808.1	35563
167.05235	343.25	68.0	288.0	157.0	-0.49554962	224808.1	35563
65.15395	384.25	159.125	339.0	156.0	0.49554962	224808.1	35563
158.68915	323.25	61.15625	350.0	141.5	-0.49554962	224808.1	35563
116.87676	389.0	130.125	370.0	186.625	0.49554962	224808.1	35563
97.49397	401.25	109.375	425.0	167.0	-0.49554962	224808.1	35563
49.020588	351.0	124.3125	429.0	125.75	0.49554962	224808.1	35563
123.216286	349.0	106.5	347.0	119.5	-0.49554962	224808.1	35563
174.86111	479.25	120.625	340.0	14.3046875	0.49554962	224808.1	35563
120.528336	331.5	114.125	267.0	140.875	0.49554962	224808.1	35563
160.17542	473.75	151.625	453.0	189.75	-0.49554962	224808.1	35563
227.3162	437.0	124.25	440.0	127.9375	0.49554962	224808.1	35563
325.3988	521.0	74.875	542.0	154.625	0.49554962	224808.1	35563
304.6491	461.25	100.75	441.0	7.359375	0.49554962	224808.1	35563
121.26692	682.5	104.8125	421.0	123.0	-0.49554962	224808.1	35563
234.99881	491.5	134.25	422.0	193.0	0.49554962	224808.1	35563
288.37122	392.75	126.8125	393.0	102.3125	0.49554962	224808.1	35563
172.04327	551.5	186.625	375.0	204.5	0.49554962	224808.1	35563
246.77797	335.25	51.71875	255.5	139.0	0.49554962	224808.1	35563
68.77726	421.25	95.6875	350.0	60.125	0.49554962	224808.1	35563
160.46774	311.0	107.0625	361.0	112.375	-0.49554962	224808.1	35563
233.80682	524.0	92.4375	453.0	116.125	-0.49554962	224808.1	35563
88.18008	296.5	144.625	258.0	87.9375	0.49554962	224808.1	35563
67.5678	367.5	154.75	402.0	176.75	0.49554962	224808.1	35563
117.5699	357.5	142.625	358.0	177.625	-0.49554962	224808.1	35563
90.22321	386.25	98.625	388.0	128.375	0.49554962	224808.1	35563
147.03844	286.5	91.0625	334.0	9.5859375	0.49554962	224808.1	35563
222.64255	448.5	59.28125	493.0	162.25	-0.49554962	224808.1	35563
148.26727	251.25	50.15625	239.0	112.625	-0.49554962	224808.1	35563
99.48246	337.25	123.9375	390.0	123.75	-0.49554962	224808.1	35563
242.58766	220.875	96.75	303.0	96.9375	0.49554962	224808.1	35563
77.945786	575.5	125.625	566.0	137.125	0.49554962	224808.1	35563
275.81885	342.75	100.75	378.0	126.375	-0.49554962	224808.1	35563
63.97114	304.0	60.78125	308.0	94.1875	0.49554962	224808.1	35563
198.10551	229.875	62.59375	333.0	87.125	0.49554962	224808.1	35563
99.33156	356.75	80.8125	403.0	135.125	0.49554962	224808.1	35563
138.88908	768.5	59.46875	742.0	179.5	0.49554962	224808.1	35563
206.79106	377.0	87.875	332.0	176.75	-0.49554962	224808.1	35563
244.5127	332.5	77.5625	244.5	111.5625	0.49554962	224808.1	35563
253.3108	410.75	74.625	353.0	184.75	0.49554962	224808.1	35563
94.62848	345.75	156.125	341.0	146.875	0.49554962	224808.1	35563
231.08318	284.0	87.5625	322.0	84.5	0.49554962	224808.1	35563
194.80656	250.0	94.875	214.5	91.75	0.49554962	224808.1	35563
60.24717	325.75	90.5	319.0	120.5	0.49554962	224808.1	35563
109.49182	387.75	120.0	334.0	199.875	0.49554962	224808.1	35563
183.5358	564.0	85.625	449.0	164.625	0.49554962	224808.1	35563
129.76115	275.0	90.0625	313.0	107.5	0.49554962	224808.1	35563
331.67273	357.0	117.5	391.0	99.5	-0.49554962	224808.1	35563
279.35297	550.0	76.375	670.0	135.375	0.49554962	224808.1	35563
509.33923	339.0	118.4375	338.0	106.0625	0.49554962	224808.1	35563
53.49514	455.25	75.1875	468.0	178.375	0.49554962	224808.1	35563
125.45886	291.0	93.25	339.0	3.7832031	0.49554962	224808.1	35563
168.1941	450.5	110.1875	446.0	173.375	0.49554962	224808.1	35563
416.5448	407.0	106.25	401.0	160.5	-0.49554962	224808.1	35563
89.86335	206.375	66.1875	237.0	84.3125	0.49554962	224808.1	35563
138.9595	411.0	162.0	381.0	184.625	-0.49554962	224808.1	35563
