AK8_pt	Gent_pt	Flag	genWeights	sumWeight	N_exp
528.5	516.0	a	0.49554962	256276.42	35563
297.75	273.0	c	0.49554962	256276.42	35563
405.25	397.0	a	-0.49554962	256276.42	35563
529.5	580.0	a	0.49554962	256276.42	35563
465.75	382.0	a	-0.49554962	256276.42	35563
252.875	83.25	d	0.49554962	256276.42	35563
256.75	238.0		0.49554962	256276.42	35563
616.5	630.0		-0.49554962	256276.42	35563
317.25	275.0		-0.49554962	256276.42	35563
490.0	486.0	a	0.49554962	256276.42	35563
776.5	706.0	a	0.49554962	256276.42	35563
289.75	144.5	d	0.49554962	256276.42	35563
264.25	131.5	b	0.49554962	256276.42	35563
431.0	306.0	a	-0.49554962	256276.42	35563
460.5	424.0		0.49554962	256276.42	35563
454.75	385.0		-0.49554962	256276.42	35563
419.75	392.0	a	-0.49554962	256276.42	35563
409.0	385.0	a	-0.49554962	256276.42	35563
459.5	500.0	a	0.49554962	256276.42	35563
287.25	226.5		-0.49554962	256276.42	35563
359.75	354.0		0.49554962	256276.42	35563
375.25	358.0	a	0.49554962	256276.42	35563
309.5	374.0		0.49554962	256276.42	35563
1080.0	1014.0	a	0.49554962	256276.42	35563
321.75	412.0		0.49554962	256276.42	35563
373.5	309.0		0.49554962	256276.42	35563
607.0	634.0	a	0.49554962	256276.42	35563
257.5	220.0	b	-0.49554962	256276.42	35563
448.5	427.0		0.49554962	256276.42	35563
485.0	431.0		0.49554962	256276.42	35563
372.0	368.0		0.49554962	256276.42	35563
410.75	430.0	a	0.49554962	256276.42	35563
372.0	364.0		0.49554962	256276.42	35563
573.0	482.0	a	0.49554962	256276.42	35563
374.0	391.0	a	-0.49554962	256276.42	35563
380.5	344.0	a	0.49554962	256276.42	35563
354.25	369.0		0.49554962	256276.42	35563
406.0	385.0	a	0.49554962	256276.42	35563
475.5	399.0	a	0.49554962	256276.42	35563
491.0	490.0	a	0.49554962	256276.42	35563
723.0	730.0	a	0.49554962	256276.42	35563
627.5	646.0		0.49554962	256276.42	35563
507.25	342.0		0.49554962	256276.42	35563
308.25	387.0		0.49554962	256276.42	35563
234.25	339.0	a	-0.49554962	256276.42	35563
793.0	816.0	a	-0.49554962	256276.42	35563
409.0	414.0		0.49554962	256276.42	35563
551.5	494.0	a	0.49554962	256276.42	35563
235.75	281.0		-0.49554962	256276.42	35563
